kmeans2,kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7896188192,-122.420497289
mediumseagreen,coral,mediumseagreen,coral,coral,37.7586968166,-122.417964484
mediumseagreen,coral,mediumseagreen,coral,coral,37.7578801214,-122.417955822
coral,mediumseagreen,coral,yellow,yellow,37.7941753076,-122.407436533
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636979309,-122.415155941
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
mediumseagreen,coral,mediumseagreen,coral,coral,37.7635718956,-122.417332583
mediumseagreen,coral,mediumseagreen,coral,coral,37.7594884557,-122.417970955
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
mediumseagreen,coral,mediumseagreen,coral,coral,37.7653161356,-122.415308389
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7872807076,-122.420021471
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
mediumseagreen,coral,mediumseagreen,coral,coral,37.765448018,-122.413107623
mediumseagreen,coral,mediumseagreen,coral,coral,37.7515249573,-122.405251766
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636979309,-122.415155941
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7894107633,-122.422139511
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
mediumseagreen,coral,mediumseagreen,coral,coral,37.7653161356,-122.415308389
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7874861572,-122.418368839
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7874861572,-122.418368839
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7858926099,-122.419739838
mediumseagreen,coral,mediumseagreen,coral,coral,37.7626952876,-122.418277911
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636979309,-122.415155941
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7870372044,-122.418274172
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
coral,mediumseagreen,coral,yellow,mediumseagreen,37.7812707434,-122.411339563
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7889098399,-122.418658295
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7905770711,-122.420691681
mediumseagreen,coral,mediumseagreen,coral,coral,37.7596123169,-122.415921585
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7853750846,-122.416261837
mediumseagreen,coral,mediumseagreen,coral,coral,37.7586968166,-122.417964484
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7874861572,-122.418368839
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7914446364,-122.421720673
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
mediumseagreen,coral,mediumseagreen,coral,coral,37.7628868985,-122.415006371
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7874861572,-122.418368839
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
mediumseagreen,coral,mediumseagreen,coral,coral,37.7605000726,-122.414845139
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7835160564,-122.415885066
mediumseagreen,coral,mediumseagreen,coral,coral,37.7594884557,-122.417970955
mediumseagreen,coral,mediumseagreen,coral,coral,37.7652491154,-122.41638971
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7887480807,-122.419486234
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7894107633,-122.422139511
mediumseagreen,coral,mediumseagreen,coral,coral,37.7603656932,-122.417028392
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.784286048,-122.416893711
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7753529597,-122.429344544
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7905770711,-122.420691681
mediumseagreen,coral,mediumseagreen,coral,coral,37.7586968166,-122.417964484
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7870372044,-122.418274172
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7891095539,-122.417019321
mediumseagreen,coral,mediumseagreen,coral,coral,37.7620990021,-122.415000537
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7930494294,-122.422874083
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7861007452,-122.418090767
mediumseagreen,darkviolet,navy,navy,darkviolet,37.7603454517,-122.506470086
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
coral,mediumseagreen,coral,yellow,yellow,37.7862042105,-122.409686192
mediumseagreen,coral,mediumseagreen,coral,coral,37.7578884408,-122.417817853
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7870372044,-122.418274172
mediumseagreen,coral,mediumseagreen,coral,coral,37.7571677817,-122.416720982
mediumseagreen,coral,mediumseagreen,coral,coral,37.7535591785,-122.422282409
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7842362878,-122.417710345
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7903690689,-122.422330464
mediumseagreen,coral,mediumseagreen,coral,coral,37.7635382941,-122.412301187
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7957371092,-122.423413057
mediumseagreen,coral,mediumseagreen,coral,coral,37.7620990021,-122.415000537
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7835680535,-122.419274801
mediumseagreen,coral,mediumseagreen,coral,coral,37.7642753857,-122.41868792
mediumseagreen,coral,mediumseagreen,coral,coral,37.7711341127,-122.411939261
coral,mediumseagreen,coral,yellow,yellow,37.7951006528,-122.404847848
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
mediumseagreen,coral,mediumseagreen,coral,coral,37.760301234,-122.418120086
mediumseagreen,coral,mediumseagreen,coral,coral,37.7605000726,-122.414845139
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.790577071,-122.420691681
mediumseagreen,coral,mediumseagreen,coral,coral,37.7620347867,-122.416078424
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636979309,-122.415155941
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
mediumseagreen,coral,mediumseagreen,coral,coral,37.7481664084,-122.418221946
mediumseagreen,coral,mediumseagreen,coral,coral,37.7590272975,-122.412502864
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
coral,mediumseagreen,coral,yellow,yellow,37.7912255174,-122.404195425
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7870372043,-122.418274172
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7791387543,-122.416607695
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7886989512,-122.420307356
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7863086886,-122.416452066
mediumseagreen,coral,mediumseagreen,coral,coral,37.7652491154,-122.41638971
mediumseagreen,coral,mediumseagreen,coral,coral,37.755700366,-122.414389291
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7853750846,-122.416261837
mediumseagreen,coral,mediumseagreen,coral,coral,37.7580118295,-122.415770264
coral,mediumseagreen,coral,yellow,yellow,37.7754207067,-122.403404791
mediumseagreen,coral,mediumseagreen,coral,coral,37.7653161356,-122.415308389
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7883817596,-122.419395811
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7760436734,-122.414379701
mediumseagreen,coral,mediumseagreen,coral,coral,37.7634954373,-122.418486297
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
mediumseagreen,coral,mediumseagreen,coral,coral,37.7588955948,-122.414693065
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7870372043,-122.418274172
mediumseagreen,coral,mediumseagreen,coral,coral,37.7586968166,-122.417964484
mediumseagreen,coral,mediumseagreen,coral,coral,37.7652491154,-122.41638971
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
mediumseagreen,coral,mediumseagreen,coral,coral,37.7620990021,-122.415000537
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
mediumseagreen,coral,mediumseagreen,coral,coral,37.7578884408,-122.417817853
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7905770711,-122.420691681
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7881786971,-122.416829149
mediumseagreen,coral,mediumseagreen,coral,coral,37.7620990021,-122.415000537
mediumseagreen,coral,mediumseagreen,coral,coral,37.7620990021,-122.415000537
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7898297669,-122.418844748
mediumseagreen,coral,mediumseagreen,coral,coral,37.7535802616,-122.409274109
mediumseagreen,coral,mediumseagreen,coral,coral,37.7642205604,-122.419658344
mediumseagreen,coral,mediumseagreen,coral,coral,37.7652491154,-122.41638971
mediumseagreen,coral,mediumseagreen,coral,coral,37.7638222259,-122.413591696
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7853750846,-122.416261837
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7853750846,-122.416261837
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7853750846,-122.416261837
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
mediumseagreen,coral,mediumseagreen,coral,coral,37.7572322279,-122.415629332
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7896188193,-122.420497289
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7851513851,-122.426449162
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
mediumseagreen,coral,mediumseagreen,coral,coral,37.7586968166,-122.417964484
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7903690689,-122.422330464
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844990198,-122.419458073
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
mediumseagreen,coral,mediumseagreen,coral,coral,37.7684384856,-122.407321012
mediumseagreen,coral,mediumseagreen,coral,coral,37.7620990021,-122.415000537
coral,mediumseagreen,coral,yellow,mediumseagreen,37.7812707434,-122.411339563
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7874861572,-122.418368839
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7851160049,-122.418751253
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7889098399,-122.418658295
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
mediumseagreen,coral,mediumseagreen,coral,coral,37.7652491154,-122.41638971
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7883351248,-122.416032977
mediumseagreen,coral,mediumseagreen,coral,coral,37.7635485886,-122.416774843
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7874861572,-122.418368839
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7870372044,-122.418274172
mediumseagreen,coral,mediumseagreen,coral,coral,37.7634292328,-122.419515708
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636979309,-122.415155941
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7874861572,-122.418368839
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
mediumseagreen,coral,mediumseagreen,coral,coral,37.7651098786,-122.418701003
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7891095539,-122.417019321
mediumseagreen,coral,mediumseagreen,coral,coral,37.7586968166,-122.417964484
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636979309,-122.415155941
mediumseagreen,darkviolet,navy,navy,darkviolet,37.7531929151,-122.478618706
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
coral,mediumseagreen,coral,yellow,yellow,37.7849124714,-122.408648589
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.8062946812,-122.416280805
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787805224,-122.419295456
mediumseagreen,coral,mediumseagreen,coral,coral,37.7619029613,-122.418272166
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7909741244,-122.41739283
mediumseagreen,coral,mediumseagreen,coral,coral,37.7572322279,-122.415629332
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7874861572,-122.418368839
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7870372044,-122.418274172
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7868262082,-122.419930112
mediumseagreen,coral,mediumseagreen,coral,coral,37.7634954373,-122.418486297
mediumseagreen,coral,mediumseagreen,coral,coral,37.7620347867,-122.416078424
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7874861572,-122.418368839
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7882225424,-122.420211965
mediumseagreen,coral,mediumseagreen,coral,coral,37.7586968166,-122.417964484
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
mediumseagreen,coral,mediumseagreen,coral,coral,37.7586968166,-122.417964484
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.789829767,-122.418844748
mediumseagreen,coral,mediumseagreen,coral,coral,37.7620347867,-122.416078424
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7962454397,-122.423340547
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7870372044,-122.418274172
mediumseagreen,coral,mediumseagreen,coral,coral,37.7642766927,-122.411826281
mediumseagreen,coral,mediumseagreen,coral,coral,37.7634954373,-122.418486297
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7870372043,-122.418274172
mediumseagreen,coral,mediumseagreen,coral,coral,37.760301234,-122.418120086
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636979309,-122.415155941
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7898297669,-122.418844748
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7842362878,-122.417710345
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7914943052,-122.420874632
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7903690689,-122.422330464
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
mediumseagreen,coral,mediumseagreen,coral,coral,37.7627500213,-122.417323189
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7872450378,-122.41664237
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7874861572,-122.418368839
mediumseagreen,coral,mediumseagreen,coral,coral,37.7588312135,-122.415781282
mediumseagreen,coral,mediumseagreen,coral,coral,37.7586968166,-122.417964484
mediumseagreen,coral,mediumseagreen,coral,coral,37.7586968166,-122.417964484
mediumseagreen,coral,mediumseagreen,coral,coral,37.7652491154,-122.41638971
mediumseagreen,coral,mediumseagreen,coral,coral,37.7616441977,-122.412051228
mediumseagreen,coral,mediumseagreen,coral,coral,37.765181804,-122.417488324
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
mediumseagreen,coral,mediumseagreen,coral,coral,37.7634954373,-122.418486297
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7870372044,-122.418274172
mediumseagreen,coral,mediumseagreen,coral,coral,37.7586968166,-122.417964484
mediumseagreen,coral,mediumseagreen,coral,coral,37.7620990021,-122.415000537
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7853750846,-122.416261837
mediumseagreen,coral,mediumseagreen,coral,coral,37.7653161356,-122.415308389
mediumseagreen,coral,mediumseagreen,coral,coral,37.7586968166,-122.417964484
mediumseagreen,coral,mediumseagreen,coral,coral,37.755504342,-122.41766064
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7874861572,-122.418368839
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7905770711,-122.420691681
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7874861572,-122.418368839
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.790577071,-122.420691681
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7909741244,-122.41739283
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636979309,-122.415155941
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
mediumseagreen,coral,mediumseagreen,coral,coral,37.7620990021,-122.415000537
mediumseagreen,coral,mediumseagreen,coral,coral,37.7634954373,-122.418486297
mediumseagreen,coral,mediumseagreen,coral,coral,37.7604330004,-122.41592985
coral,mediumseagreen,coral,yellow,yellow,37.7754207067,-122.403404791
mediumseagreen,coral,mediumseagreen,coral,coral,37.7652491154,-122.41638971
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7872450378,-122.41664237
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7853750846,-122.416261837
mediumseagreen,coral,mediumseagreen,coral,coral,37.7634954373,-122.418486297
mediumseagreen,coral,mediumseagreen,coral,coral,37.7605000726,-122.414845139
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7900459017,-122.417209639
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7905770711,-122.420691681
mediumseagreen,coral,mediumseagreen,coral,coral,37.7564220902,-122.415479287
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.8016874339,-122.41449492
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7776523028,-122.423991807
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7870631862,-122.41763416
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7842362878,-122.417710345
mediumseagreen,coral,mediumseagreen,coral,coral,37.7634954373,-122.418486297
mediumseagreen,coral,mediumseagreen,coral,coral,37.7636337703,-122.416230393
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.789829767,-122.418844748
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7853750846,-122.416261837
mediumseagreen,coral,mediumseagreen,coral,coral,37.7226343682,-122.400382504
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.787965257,-122.418467748
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7844496613,-122.416075285
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7886989512,-122.420307356
mediumseagreen,coral,mediumseagreen,coral,coral,37.7619459991,-122.416623217
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7870372043,-122.418274172
coral,mediumseagreen,coral,mediumseagreen,turquoise,37.7905770711,-122.420691681
mediumseagreen,coral,mediumseagreen,coral,coral,37.7610160912,-122.419350173
coral,mediumseagreen,coral,mediumseagreen,mediumseagreen,37.7851670875,-122.417903978
